Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 354,Australia,India,Australia,100 runs,Sydney,21-Jan-86
ODI # 355,India,New Zealand,New Zealand,5 wickets,Melbourne,23-Jan-86
ODI # 356,India,New Zealand,India,5 wickets,Adelaide,25-Jan-86
ODI # 357,Australia,India,Australia,36 runs,Adelaide,26-Jan-86
ODI # 358,Australia,New Zealand,New Zealand,206 runs,Adelaide,27-Jan-86
ODI # 359,Australia,New Zealand,Australia,99 runs,Sydney,29-Jan-86
ODI # 360,Australia,India,India,6 wickets,Melbourne,31-Jan-86
ODI # 361,India,New Zealand,India,22 runs,Launceston,02-Feb-86
ODI # 362,Australia,India,Australia,11 runs,Sydney,05-Feb-86
ODI # 363,Australia,India,Australia,7 wickets,Melbourne,09-Feb-86
ODI # 364,West Indies,England,West Indies,6 wickets,Kingston,18-Feb-86
ODI # 365,Sri Lanka,Pakistan,Pakistan,8 wickets,Kandy,02-Mar-86
ODI # 366,West Indies,England,England,5 wickets,Port of Spain,04-Mar-86
ODI # 367,Sri Lanka,Pakistan,no result,,Moratuwa,08-Mar-86
ODI # 368,Sri Lanka,Pakistan,Pakistan,8 wickets,Colombo (SSC),11-Mar-86
ODI # 369,New Zealand,Australia,New Zealand,30 runs,Dunedin,19-Mar-86
ODI # 370,West Indies,England,West Indies,135 runs,Bridgetown,19-Mar-86
ODI # 371,New Zealand,Australia,New Zealand,53 runs,Christchurch,22-Mar-86
ODI # 372,New Zealand,Australia,Australia,3 wickets,Wellington,26-Mar-86
ODI # 373,New Zealand,Australia,Australia,44 runs,Auckland,29-Mar-86
ODI # 374,Sri Lanka,Pakistan,Pakistan,81 runs,Colombo (PSS),30-Mar-86
ODI # 375,Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa,31-Mar-86
ODI # 376,West Indies,England,West Indies,8 wickets,Port of Spain,31-Mar-86
ODI # 377,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy,02-Apr-86
ODI # 378,Sri Lanka,New Zealand,New Zealand,6 wickets,Colombo (RPS),05-Apr-86
ODI # 379,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Colombo (SSC),06-Apr-86
ODI # 380,New Zealand,Pakistan,Pakistan,4 wickets,Colombo (SSC),07-Apr-86
ODI # 381,India,New Zealand,India,3 wickets,Sharjah,10-Apr-86
ODI # 382,Australia,Pakistan,Pakistan,8 wickets,Sharjah,11-Apr-86
ODI # 383,India,Sri Lanka,India,3 wickets,Sharjah,13-Apr-86
ODI # 384,New Zealand,Pakistan,Pakistan,10 wickets,Sharjah,15-Apr-86
ODI # 385,India,Pakistan,Pakistan,1 wicket,Sharjah,18-Apr-86
ODI # 386,England,India,India,9 wickets,The Oval,24-May-86
ODI # 387,England,India,England,5 wickets,Manchester,26-May-86
ODI # 388,England,New Zealand,New Zealand,47 runs,Leeds,16-Jul-86
ODI # 389,England,New Zealand,England,6 wickets,Manchester,18-Jul-86
ODI # 390,India,Australia,India,7 wickets,Jaipur,07-Sep-86
ODI # 391,India,Australia,Australia,3 wickets,Srinagar,09-Sep-86
ODI # 392,India,Australia,no result,,Hyderabad (Deccan),24-Sep-86
ODI # 393,India,Australia,India,3 wickets,Delhi,02-Oct-86
ODI # 394,India,Australia,India,52 runs,Ahmedabad,05-Oct-86
ODI # 395,India,Australia,Australia,7 wickets,Rajkot,07-Oct-86
ODI # 396,Pakistan,West Indies,West Indies,4 wickets,Peshawar,17-Oct-86
ODI # 397,Pakistan,West Indies,West Indies,17 runs,Gujranwala,04-Nov-86
ODI # 398,Pakistan,West Indies,West Indies,4 wickets,Sialkot,14-Nov-86
ODI # 399,Pakistan,West Indies,West Indies,89 runs,Multan,17-Nov-86
ODI # 400,Pakistan,West Indies,Pakistan,11 runs,Hyderabad (Sind),18-Nov-86
ODI # 401,India,Sri Lanka,India,7 wickets,Sharjah,27-Nov-86
ODI # 402,Pakistan,West Indies,West Indies,9 wickets,Sharjah,28-Nov-86
ODI # 403,India,West Indies,West Indies,33 runs,Sharjah,30-Nov-86
ODI # 404,Pakistan,Sri Lanka,Pakistan,4 wickets,Sharjah,02-Dec-86
ODI # 405,Sri Lanka,West Indies,West Indies,193 runs,Sharjah,03-Dec-86
ODI # 406,India,Pakistan,Pakistan,3 wickets,Sharjah,05-Dec-86
ODI # 407,India,Sri Lanka,Sri Lanka,117 runs,Kanpur,24-Dec-86
ODI # 408,Pakistan,West Indies,Pakistan,34 runs,Perth,30-Dec-86
ODI # 409,Australia,England,England,37 runs,Perth,01-Jan-87
ODI # 410,Australia,Pakistan,Pakistan,1 wicket,Perth,02-Jan-87
ODI # 411,England,West Indies,England,19 runs,Perth,03-Jan-87
ODI # 412,Australia,West Indies,West Indies,164 runs,Perth,04-Jan-87
ODI # 413,England,Pakistan,England,3 wickets,Perth,05-Jan-87
ODI # 414,England,Pakistan,England,5 wickets,Perth,07-Jan-87
ODI # 415,India,Sri Lanka,India,8 wickets,Guwahati,11-Jan-87
ODI # 416,India,Sri Lanka,India,6 wickets,Delhi,13-Jan-87
ODI # 417,India,Sri Lanka,India,94 runs,Vadodara,15-Jan-87
ODI # 418,England,West Indies,England,6 wickets,Brisbane,17-Jan-87
ODI # 419,India,Sri Lanka,India,10 runs,Mumbai,17-Jan-87
ODI # 420,Australia,England,Australia,11 runs,Brisbane,18-Jan-87
ODI # 421,Australia,West Indies,West Indies,7 wickets,Melbourne,20-Jan-87
ODI # 422,Australia,England,England,3 wickets,Sydney,22-Jan-87
ODI # 423,England,West Indies,England,89 runs,Adelaide,24-Jan-87
ODI # 424,Australia,West Indies,West Indies,16 runs,Adelaide,25-Jan-87
ODI # 425,Australia,England,Australia,33 runs,Adelaide,26-Jan-87
ODI # 426,India,Pakistan,Pakistan,3 wickets,Indore,27-Jan-87
ODI # 427,Australia,West Indies,Australia,36 runs,Sydney,28-Jan-87
ODI # 428,England,West Indies,West Indies,6 wickets,Melbourne,30-Jan-87
ODI # 429,Australia,England,Australia,109 runs,Melbourne,01-Feb-87
ODI # 430,England,West Indies,England,29 runs,Devonport,03-Feb-87
ODI # 431,Australia,West Indies,Australia,2 wickets,Sydney,06-Feb-87
ODI # 432,Australia,England,England,6 wickets,Melbourne,08-Feb-87
ODI # 433,Australia,England,England,8 runs,Sydney,11-Feb-87
ODI # 434,India,Pakistan,Pakistan,2 wickets,Kolkata,18-Feb-87
ODI # 435,New Zealand,West Indies,West Indies,95 runs,Dunedin,18-Mar-87
ODI # 436,India,Pakistan,India,,Hyderabad (Deccan),20-Mar-87
ODI # 437,New Zealand,West Indies,West Indies,6 wickets,Auckland,21-Mar-87
ODI # 438,India,Pakistan,Pakistan,6 wickets,Pune,22-Mar-87
ODI # 439,India,Pakistan,Pakistan,41 runs,Nagpur,24-Mar-87
ODI # 440,India,Pakistan,Pakistan,5 wickets,Jamshedpur,26-Mar-87
ODI # 441,New Zealand,West Indies,West Indies,10 wickets,Christchurch,28-Mar-87
ODI # 442,England,India,India,3 wickets,Sharjah,02-Apr-87
ODI # 443,Australia,Pakistan,Pakistan,6 wickets,Sharjah,03-Apr-87
ODI # 444,Australia,India,India,7 wickets,Sharjah,05-Apr-87
ODI # 445,England,Pakistan,England,5 wickets,Sharjah,07-Apr-87
ODI # 446,Australia,England,England,11 runs,Sharjah,09-Apr-87
ODI # 447,India,Pakistan,Pakistan,8 wickets,Sharjah,10-Apr-87
ODI # 448,England,Pakistan,England,7 wickets,The Oval,21-May-87
ODI # 449,England,Pakistan,Pakistan,6 wickets,Nottingham,23-May-87
ODI # 450,England,Pakistan,England,1 wicket,Birmingham,25-May-87
ODI # 451,Pakistan,Sri Lanka,Pakistan,15 runs,Hyderabad (Sind),08-Oct-87
ODI # 453,India,Australia,Australia,1 run,Chennai,09-Oct-87
ODI # 452,England,West Indies,England,2 wickets,Gujranwala,09-Oct-87
ODI # 454,New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),10-Oct-87
ODI # 455,Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987"
ODI # 456,Australia,Zimbabwe,Australia,96 runs,Chennai,13-Oct-87
ODI # 457,Sri Lanka,West Indies,West Indies,191 runs,Karachi,13-Oct-87
ODI # 458,India,New Zealand,India,16 runs,Bengaluru,14-Oct-87
ODI # 459,Pakistan,West Indies,Pakistan,1 wicket,Lahore,16-Oct-87
ODI # 461,India,Zimbabwe,India,8 wickets,Mumbai,17-Oct-87
ODI # 460,England,Sri Lanka,England,108 runs,Peshawar,17-Oct-87
ODI # 462,Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987"
ODI # 463,Pakistan,England,Pakistan,7 wickets,Karachi,20-Oct-87
ODI # 464,Sri Lanka,West Indies,West Indies,25 runs,Kanpur,21-Oct-87
ODI # 465,India,Australia,India,56 runs,Delhi,22-Oct-87
ODI # 466,New Zealand,Zimbabwe,New Zealand,4 wickets,Kolkata,23-Oct-87
ODI # 467,Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,25-Oct-87
ODI # 468,England,West Indies,England,34 runs,Jaipur,26-Oct-87
ODI # 469,India,Zimbabwe,India,7 wickets,Ahmedabad,26-Oct-87
ODI # 470,Australia,New Zealand,Australia,17 runs,Chandigarh,27-Oct-87
ODI # 471,Australia,Zimbabwe,Australia,70 runs,Cuttack,30-Oct-87
ODI # 472,England,Sri Lanka,England,8 wickets,Pune,30-Oct-87
ODI # 473,Pakistan,West Indies,West Indies,28 runs,Karachi,30-Oct-87
ODI # 474,India,New Zealand,India,9 wickets,Nagpur,31-Oct-87
ODI # 475,Pakistan,Australia,Australia,18 runs,Lahore,04-Nov-87
ODI # 476,India,England,England,35 runs,Mumbai,05-Nov-87
ODI # 477,Australia,England,Australia,7 runs,Kolkata,08-Nov-87
ODI # 478,Pakistan,England,England,2 wickets,Lahore,18-Nov-87
ODI # 479,Pakistan,England,England,23 runs,Karachi,20-Nov-87
ODI # 480,Pakistan,England,England,98 runs,Peshawar,22-Nov-87
ODI # 481,India,West Indies,West Indies,10 runs,Nagpur,08-Dec-87
ODI # 482,India,West Indies,West Indies,52 runs,Guwahati,23-Dec-87
ODI # 484,Australia,Sri Lanka,Australia,81 runs,Perth,02-Jan-88
ODI # 483,India,West Indies,India,56 runs,Kolkata,02-Jan-88
ODI # 485,Australia,New Zealand,New Zealand,1 run,Perth,03-Jan-88
ODI # 486,New Zealand,Sri Lanka,New Zealand,6 wickets,Sydney,05-Jan-88
ODI # 487,India,West Indies,West Indies,6 wickets,Rajkot,05-Jan-88
ODI # 488,Australia,New Zealand,Australia,6 runs,Melbourne,07-Jan-88
ODI # 489,India,West Indies,West Indies,2 runs,Ahmedabad,07-Jan-88
ODI # 490,New Zealand,Sri Lanka,New Zealand,4 wickets,Adelaide,09-Jan-88
ODI # 491,Australia,Sri Lanka,Australia,81 runs,Adelaide,10-Jan-88
ODI # 492,New Zealand,Sri Lanka,Sri Lanka,4 wickets,Hobart,12-Jan-88
ODI # 493,Australia,Sri Lanka,Australia,38 runs,Melbourne,14-Jan-88
ODI # 494,New Zealand,Sri Lanka,New Zealand,4 wickets,Brisbane,16-Jan-88
ODI # 495,Australia,New Zealand,Australia,5 wickets,Brisbane,17-Jan-88
ODI # 496,Australia,Sri Lanka,Australia,3 wickets,Sydney,19-Jan-88
ODI # 497,India,West Indies,West Indies,4 wickets,Faridabad,19-Jan-88
ODI # 498,Australia,New Zealand,Australia,78 runs,Sydney,20-Jan-88
ODI # 499,Australia,New Zealand,Australia,8 wickets,Melbourne,22-Jan-88
ODI # 500,India,West Indies,West Indies,73 runs,Gwalior,22-Jan-88
ODI # 501,Australia,New Zealand,Australia,6 wickets,Sydney,24-Jan-88
ODI # 502,India,West Indies,West Indies,9 wickets,Thiruvananthapuram,25-Jan-88
ODI # 503,Australia,England,Australia,22 runs,Melbourne,04-Feb-88
ODI # 504,New Zealand,England,England,5 wickets,Dunedin,09-Mar-88
ODI # 505,New Zealand,England,England,6 wickets,Christchurch,12-Mar-88
ODI # 506,West Indies,Pakistan,West Indies,47 runs,Kingston,12-Mar-88
ODI # 507,West Indies,Pakistan,West Indies,5 wickets,St John's,15-Mar-88
ODI # 508,New Zealand,England,New Zealand,7 wickets,Napier,16-Mar-88
ODI # 509,West Indies,Pakistan,West Indies,50 runs,Port of Spain,18-Mar-88
ODI # 510,New Zealand,England,New Zealand,4 wickets,Auckland,19-Mar-88
ODI # 511,West Indies,Pakistan,West Indies,7 wickets,Port of Spain,20-Mar-88
ODI # 512,India,Sri Lanka,India,18 runs,Sharjah,25-Mar-88
ODI # 513,India,New Zealand,India,73 runs,Sharjah,27-Mar-88
ODI # 514,New Zealand,Sri Lanka,New Zealand,99 runs,Sharjah,29-Mar-88
ODI # 515,West Indies,Pakistan,West Indies,7 wickets,Georgetown,30-Mar-88
ODI # 516,New Zealand,Sri Lanka,New Zealand,43 runs,Sharjah,31-Mar-88
ODI # 517,India,New Zealand,India,52 runs,Sharjah,01-Apr-88
ODI # 518,England,West Indies,England,6 wickets,Birmingham,19-May-88
ODI # 519,England,West Indies,England,47 runs,Leeds,21-May-88
ODI # 520,England,West Indies,England,7 wickets,Lord's,"May 23-24, 1988"
ODI # 521,England,Sri Lanka,England,5 wickets,The Oval,04-Sep-88
ODI # 522,Pakistan,Australia,Pakistan,,Lahore,14-Oct-88
ODI # 523,India,West Indies,India,23 runs,Sharjah,16-Oct-88
ODI # 524,Pakistan,West Indies,Pakistan,84 runs,Sharjah,18-Oct-88
ODI # 525,India,Pakistan,Pakistan,34 runs,Sharjah,19-Oct-88
ODI # 526,India,West Indies,West Indies,8 wickets,Sharjah,21-Oct-88
ODI # 527,Pakistan,West Indies,West Indies,11 runs,Sharjah,22-Oct-88
ODI # 528,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dhaka,27-Oct-88
ODI # 529,Bangladesh,India,India,9 wickets,Chittagong,27-Oct-88
ODI # 530,India,Sri Lanka,Sri Lanka,17 runs,Dhaka,29-Oct-88
ODI # 531,Bangladesh,Pakistan,Pakistan,173 runs,Chittagong,29-Oct-88
ODI # 532,India,Pakistan,India,4 wickets,Dhaka,31-Oct-88
ODI # 533,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,02-Nov-88
ODI # 534,India,Sri Lanka,India,6 wickets,Dhaka,04-Nov-88
ODI # 535,Pakistan,West Indies,West Indies,89 runs,Adelaide,10-Dec-88
ODI # 536,India,New Zealand,India,4 wickets,Visakhapatnam,10-Dec-88
ODI # 537,Australia,Pakistan,Australia,9 wickets,Adelaide,11-Dec-88
ODI # 538,India,New Zealand,India,5 wickets,Cuttack,12-Dec-88
ODI # 539,Australia,West Indies,West Indies,1 run,Sydney,13-Dec-88
ODI # 540,Australia,West Indies,West Indies,34 runs,Melbourne,15-Dec-88
ODI # 541,India,New Zealand,India,53 runs,Indore,15-Dec-88
ODI # 542,Pakistan,West Indies,West Indies,17 runs,Hobart,17-Dec-88
ODI # 543,India,New Zealand,India,2 wickets,Vadodara,17-Dec-88
ODI # 544,Pakistan,West Indies,West Indies,7 wickets,Perth,01-Jan-89
ODI # 545,Australia,Pakistan,Pakistan,38 runs,Perth,02-Jan-89
ODI # 546,Australia,West Indies,Australia,8 runs,Melbourne,05-Jan-89
ODI # 547,Pakistan,West Indies,Pakistan,55 runs,Brisbane,07-Jan-89
ODI # 548,Australia,Pakistan,Australia,5 wickets,Brisbane,08-Jan-89
ODI # 549,Australia,Pakistan,Australia,6 runs,Melbourne,10-Jan-89
ODI # 550,Australia,West Indies,Australia,61 runs,Sydney,12-Jan-89
ODI # 551,Australia,West Indies,Australia,2 runs,Melbourne,14-Jan-89
ODI # 552,Australia,West Indies,West Indies,92 runs,Sydney,16-Jan-89
ODI # 553,Australia,West Indies,West Indies,8 wickets,Sydney,18-Jan-89
ODI # 554,New Zealand,Pakistan,New Zealand,8 wickets,Dunedin,06-Feb-89
ODI # 555,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,04-Mar-89
ODI # 556,West Indies,India,West Indies,50 runs,Bridgetown,07-Mar-89
ODI # 557,New Zealand,Pakistan,New Zealand,6 wickets,Wellington,08-Mar-89
ODI # 558,West Indies,India,West Indies,6 wickets,Port of Spain,09-Mar-89
ODI # 559,New Zealand,Pakistan,Pakistan,7 wickets,Auckland,11-Mar-89
ODI # 560,West Indies,India,West Indies,6 wickets,Port of Spain,11-Mar-89
ODI # 561,New Zealand,Pakistan,New Zealand,7 wickets,Hamilton,14-Mar-89
ODI # 562,West Indies,India,West Indies,8 wickets,St John's,18-Mar-89
ODI # 563,West Indies,India,West Indies,101 runs,Georgetown,21-Mar-89
ODI # 564,Pakistan,Sri Lanka,Pakistan,30 runs,Sharjah,23-Mar-89
ODI # 565,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,24-Mar-89
ODI # 566,England,Australia,England,95 runs,Manchester,25-May-89
ODI # 567,England,Australia,tied,,Nottingham,27-May-89
ODI # 568,England,Australia,Australia,6 wickets,Lord's,29-May-89
ODI # 569,India,West Indies,West Indies,5 wickets,Sharjah,13-Oct-89
ODI # 570,Pakistan,West Indies,Pakistan,11 runs,Sharjah,14-Oct-89
ODI # 571,England,Sri Lanka,England,5 wickets,Delhi,15-Oct-89
ODI # 572,India,Pakistan,Pakistan,6 wickets,Sharjah,15-Oct-89
ODI # 573,India,West Indies,India,37 runs,Sharjah,16-Oct-89
ODI # 574,Pakistan,West Indies,Pakistan,57 runs,Sharjah,17-Oct-89
ODI # 575,Australia,England,England,7 wickets,Hyderabad (Deccan),19-Oct-89
ODI # 576,Sri Lanka,West Indies,Sri Lanka,4 wickets,Rajkot,19-Oct-89
ODI # 577,India,Pakistan,Pakistan,38 runs,Sharjah,20-Oct-89
ODI # 578,Australia,West Indies,Australia,99 runs,Chennai,21-Oct-89
ODI # 579,England,Pakistan,England,4 wickets,Cuttack,22-Oct-89
ODI # 580,India,Sri Lanka,India,6 runs,Ahmedabad,22-Oct-89
ODI # 581,Australia,Pakistan,Pakistan,66 runs,Mumbai (BS),23-Oct-89
ODI # 582,India,West Indies,West Indies,20 runs,Delhi,23-Oct-89
ODI # 583,India,England,India,6 wickets,Kanpur,25-Oct-89
ODI # 584,Pakistan,West Indies,West Indies,6 wickets,Jalandhar,25-Oct-89
ODI # 585,Australia,Sri Lanka,Australia,28 runs,Margao,25-Oct-89
ODI # 586,England,West Indies,West Indies,26 runs,Gwalior,27-Oct-89
ODI # 587,India,Australia,India,3 wickets,Bengaluru,27-Oct-89
ODI # 588,Pakistan,Sri Lanka,Pakistan,6 runs,Lucknow,27-Oct-89
ODI # 589,India,Pakistan,Pakistan,77 runs,Kolkata,28-Oct-89
ODI # 590,England,Pakistan,Pakistan,6 wickets,Nagpur,30-Oct-89
ODI # 591,India,West Indies,West Indies,8 wickets,Mumbai,30-Oct-89
ODI # 592,Pakistan,West Indies,Pakistan,4 wickets,Kolkata,01-Nov-89
ODI # 593,Pakistan,India,Pakistan,7 runs,Gujranwala,18-Dec-89
ODI # 594,Pakistan,India,no result,,Karachi,20-Dec-89
ODI # 595,Pakistan,India,Pakistan,38 runs,Lahore,22-Dec-89
ODI # 596,Australia,Sri Lanka,Australia,30 runs,Melbourne,26-Dec-89
ODI # 597,Australia,Sri Lanka,Australia,9 wickets,Perth,30-Dec-89
ODI # 598,Pakistan,Sri Lanka,Sri Lanka,3 wickets,Perth,31-Dec-89
ODI # 599,Australia,Pakistan,Australia,7 wickets,Melbourne,03-Jan-90
ODI # 600,Australia,Sri Lanka,Australia,73 runs,Melbourne,04-Jan-90
ODI # 601,Pakistan,Sri Lanka,Pakistan,5 wickets,Brisbane,10-Feb-90
ODI # 602,Australia,Pakistan,Australia,67 runs,Brisbane,11-Feb-90
ODI # 603,Australia,Pakistan,Pakistan,5 wickets,Sydney,13-Feb-90
ODI # 604,West Indies,England,no result,,Port of Spain,14-Feb-90
ODI # 605,Pakistan,Sri Lanka,Pakistan,6 wickets,Hobart,15-Feb-90
ODI # 606,Pakistan,Sri Lanka,Pakistan,27 runs,Adelaide,17-Feb-90
ODI # 607,West Indies,England,no result,,Port of Spain,17-Feb-90
ODI # 608,Australia,Sri Lanka,Australia,7 wickets,Adelaide,18-Feb-90
ODI # 609,Australia,Pakistan,Pakistan,2 runs,Sydney,20-Feb-90
ODI # 610,Australia,Pakistan,Australia,7 wickets,Melbourne,23-Feb-90
ODI # 611,Australia,Pakistan,Australia,69 runs,Sydney,25-Feb-90
ODI # 612,New Zealand,India,New Zealand,108 runs,Dunedin,01-Mar-90
ODI # 613,Australia,India,Australia,18 runs,Christchurch,03-Mar-90
ODI # 614,West Indies,England,West Indies,3 wickets,Kingston,03-Mar-90
ODI # 615,New Zealand,Australia,Australia,150 runs,Christchurch,04-Mar-90
ODI # 616,New Zealand,India,India,1 run,Wellington,06-Mar-90
ODI # 617,West Indies,England,West Indies,6 wickets,Georgetown,07-Mar-90
ODI # 618,Australia,India,Australia,7 wickets,Hamilton,08-Mar-90
ODI # 619,New Zealand,Australia,Australia,10 runs,Auckland,10-Mar-90
ODI # 620,New Zealand,Australia,Australia,8 wickets,Auckland,11-Mar-90
ODI # 621,West Indies,England,West Indies,7 wickets,Georgetown,15-Mar-90
ODI # 622,West Indies,England,West Indies,4 wickets,Bridgetown,03-Apr-90
ODI # 623,India,Sri Lanka,Sri Lanka,3 wickets,Sharjah,25-Apr-90
ODI # 624,Australia,New Zealand,Australia,63 runs,Sharjah,26-Apr-90
ODI # 625,India,Pakistan,Pakistan,26 runs,Sharjah,27-Apr-90
ODI # 626,Bangladesh,New Zealand,New Zealand,161 runs,Sharjah,28-Apr-90
ODI # 627,Pakistan,Sri Lanka,Pakistan,90 runs,Sharjah,29-Apr-90
ODI # 628,Australia,Bangladesh,Australia,7 wickets,Sharjah,30-Apr-90
ODI # 629,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,01-May-90
ODI # 630,Australia,Sri Lanka,Australia,114 runs,Sharjah,02-May-90
ODI # 631,Australia,Pakistan,Pakistan,36 runs,Sharjah,04-May-90
ODI # 632,England,New Zealand,New Zealand,4 wickets,Leeds,23-May-90
ODI # 633,England,New Zealand,England,6 wickets,The Oval,25-May-90
ODI # 634,England,India,India,6 wickets,Leeds,18-Jul-90
ODI # 635,England,India,India,5 wickets,Nottingham,20-Jul-90
ODI # 636,Pakistan,New Zealand,Pakistan,19 runs,Lahore,02-Nov-90
ODI # 637,Pakistan,New Zealand,Pakistan,8 wickets,Peshawar,04-Nov-90
ODI # 638,Pakistan,New Zealand,Pakistan,105 runs,Sialkot,06-Nov-90
ODI # 639,Pakistan,West Indies,Pakistan,6 runs,Karachi,09-Nov-90
ODI # 640,Pakistan,West Indies,Pakistan,5 wickets,Lahore,11-Nov-90
ODI # 641,Pakistan,West Indies,Pakistan,31 runs,Multan,13-Nov-90
ODI # 642,Australia,New Zealand,Australia,61 runs,Sydney,29-Nov-90
ODI # 643,England,New Zealand,New Zealand,7 runs,Adelaide,01-Dec-90
ODI # 644,India,Sri Lanka,India,19 runs,Nagpur,01-Dec-90
ODI # 645,Australia,New Zealand,Australia,6 wickets,Adelaide,02-Dec-90
ODI # 646,India,Sri Lanka,India,6 wickets,Pune,05-Dec-90
ODI # 647,England,New Zealand,England,4 wickets,Perth,07-Dec-90
ODI # 648,India,Sri Lanka,Sri Lanka,7 wickets,Margao,08-Dec-90
ODI # 649,Australia,England,Australia,6 wickets,Perth,09-Dec-90
ODI # 650,Australia,New Zealand,Australia,39 runs,Melbourne,11-Dec-90
ODI # 651,England,New Zealand,England,33 runs,Sydney,13-Dec-90
ODI # 652,England,New Zealand,New Zealand,8 wickets,Brisbane,15-Dec-90
ODI # 653,Australia,England,Australia,37 runs,Brisbane,16-Dec-90
ODI # 654,Australia,New Zealand,New Zealand,1 run,Hobart,18-Dec-90
ODI # 655,Pakistan,Sri Lanka,Sri Lanka,6 wickets,Sharjah,20-Dec-90
ODI # 656,Pakistan,Sri Lanka,Pakistan,50 runs,Sharjah,21-Dec-90
ODI # 657,India,Bangladesh,India,9 wickets,Chandigarh,25-Dec-90
ODI # 658,India,Sri Lanka,Sri Lanka,36 runs,Cuttack,28-Dec-90
ODI # 659,Bangladesh,Sri Lanka,Sri Lanka,71 runs,Kolkata,31-Dec-90
ODI # 660,Australia,England,Australia,68 runs,Sydney,01-Jan-91
ODI # 661,India,Sri Lanka,India,7 wickets,Kolkata,04-Jan-91
ODI # 662,Australia,England,Australia,3 runs,Melbourne,10-Jan-91
ODI # 663,Australia,New Zealand,Australia,6 wickets,Sydney,13-Jan-91
ODI # 664,Australia,New Zealand,Australia,7 wickets,Melbourne,15-Jan-91
ODI # 665,New Zealand,Sri Lanka,New Zealand,5 wickets,Napier,26-Jan-91
